Date,Open,High,Low,Close,Adj Close,Volume
2021-02-26,0.822360,0.827010,0.820850,0.822340,0.822340,0
2021-03-01,0.827068,0.831260,0.826340,0.827160,0.827160,0
2021-03-02,0.829940,0.833750,0.827790,0.829800,0.829800,0
2021-03-03,0.827470,0.830240,0.825730,0.827440,0.827440,0
2021-03-04,0.829990,0.831600,0.828912,0.829830,0.829830,0
2021-03-05,0.835520,0.840480,0.835520,0.835580,0.835580,0
2021-03-08,0.838600,0.844000,0.838070,0.838530,0.838530,0
2021-03-09,0.843740,0.844870,0.839208,0.843760,0.843760,0
2021-03-10,0.840570,0.842460,0.838570,0.840484,0.840484,0
2021-03-11,0.838400,0.839130,0.834880,0.838500,0.838500,0
2021-03-12,0.834610,0.839590,0.834000,0.834300,0.834300,0
2021-03-15,0.836740,0.839500,0.835740,0.836820,0.836820,0
2021-03-16,0.838410,0.841440,0.836610,0.838520,0.838520,0
2021-03-17,0.840188,0.841210,0.839067,0.840220,0.840220,0
2021-03-18,0.834680,0.839620,0.833959,0.834530,0.834530,0
2021-03-19,0.839090,0.842110,0.837700,0.839050,0.839050,0
2021-03-22,0.841430,0.842030,0.837700,0.841530,0.841530,0
2021-03-23,0.837990,0.842860,0.837300,0.838010,0.838010,0
2021-03-24,0.844510,0.846500,0.843800,0.844580,0.844580,0
2021-03-25,0.846470,0.849240,0.845300,0.846520,0.846520,0
2021-03-26,0.849180,0.849430,0.847170,0.849140,0.849140,0
2021-03-29,0.848349,0.850210,0.847920,0.848320,0.848320,0
2021-03-30,0.849680,0.853740,0.849200,0.849545,0.849545,0
2021-03-31,0.853000,0.854370,0.850440,0.852980,0.852980,0
2021-04-01,0.852590,0.853620,0.849200,0.852600,0.852600,0
2021-04-02,0.849060,0.850960,0.848392,0.848900,0.848900,0
2021-04-05,0.849880,0.851830,0.846300,0.849750,0.849750,0
2021-04-06,0.846090,0.847710,0.843500,0.846100,0.846100,0
2021-04-07,0.842070,0.842790,0.839300,0.842160,0.842160,0
2021-04-08,0.842320,0.843040,0.839290,0.842200,0.842200,0
2021-04-09,0.839230,0.842560,0.838700,0.839230,0.839230,0
2021-04-12,0.840590,0.842220,0.838900,0.840300,0.840300,0
2021-04-13,0.839480,0.841446,0.836600,0.839300,0.839300,0
2021-04-14,0.836300,0.836690,0.834590,0.836530,0.836530,0
2021-04-15,0.834560,0.836270,0.833810,0.834300,0.834300,0
2021-04-16,0.835370,0.836757,0.833700,0.835300,0.835300,0
2021-04-19,0.835540,0.837280,0.830000,0.835460,0.835460,0
2021-04-20,0.830300,0.831340,0.827700,0.830200,0.830200,0
2021-04-21,0.831080,0.833333,0.830200,0.831090,0.831090,0
2021-04-22,0.830690,0.833060,0.828500,0.830720,0.830720,0
2021-04-23,0.832090,0.832370,0.827952,0.832310,0.832310,0
2021-04-26,0.827160,0.828930,0.825200,0.827140,0.827140,0
2021-04-27,0.827869,0.829330,0.827000,0.827700,0.827700,0
2021-04-28,0.827230,0.829350,0.826300,0.827109,0.827109,0
2021-04-29,0.824010,0.826160,0.822900,0.824000,0.824000,0
2021-04-30,0.824750,0.831620,0.824500,0.824600,0.824600,0
2021-05-03,0.831500,0.832300,0.827952,0.831410,0.831410,0
2021-05-04,0.829200,0.833330,0.828981,0.829100,0.829100,0
2021-05-05,0.832200,0.834220,0.831300,0.832290,0.832290,0
2021-05-06,0.832700,0.833750,0.828500,0.832780,0.832780,0
2021-05-07,0.828780,0.829640,0.822000,0.828600,0.828600,0
2021-05-10,0.821860,0.823900,0.821200,0.821620,0.821620,0
2021-05-11,0.823580,0.824710,0.821040,0.823660,0.823660,0
2021-05-12,0.823350,0.828630,0.823000,0.823418,0.823418,0
2021-05-13,0.828030,0.829660,0.826000,0.827917,0.827917,0
2021-05-14,0.827800,0.828400,0.823200,0.828000,0.828000,0
2021-05-17,0.823210,0.824570,0.821693,0.823020,0.823020,0
2021-05-18,0.822690,0.822770,0.817500,0.822580,0.822580,0
2021-05-19,0.817900,0.820220,0.816460,0.818063,0.818063,0
2021-05-20,0.821500,0.821630,0.817728,0.821500,0.821500,0
2021-05-21,0.817800,0.821440,0.816860,0.817970,0.817970,0
2021-05-24,0.820940,0.821300,0.817700,0.820800,0.820800,0
2021-05-25,0.818700,0.818840,0.815195,0.818690,0.818690,0
2021-05-26,0.816400,0.819670,0.815328,0.816387,0.816387,0
2021-05-27,0.820320,0.821310,0.818532,0.820170,0.820170,0
2021-05-28,0.820160,0.824170,0.819600,0.820130,0.820130,0
